operacion;cliente;comercial;origen;destino;incoterm;pais;transporte;qpallets;costotransporte;tarifacomerciales;agencia;fechacarga;producto
1;100;PACHI;OSUNA;JEBEL ALI;CFR;EMIRATOS ARABES UNIDOS;40';25;1715;2050;YUSEN LOGISTICS;1/2020;ACEITUNAS NEGRAS RODAJAS
2;1100;PACHI;ARASOL;JEDDAH;CFR;ARABIA SAUDITA;20';11;1007;1300;DSV;2/2020;ACEITUNAS NEGRAS RODAJAS
3;1100;PACHI;OSUNA;JEDDAH;CFR;ARABIA SAUDITA;20';11;800;1300;OPERINTER;2/2020;ACEITUNAS VERDES SIN HUESO
4;1100;PACHI;ACENORCA;JEDDAH;CFR;ARABIA SAUDITA;20';11;1420;1300;BRAID;2/2020;ACEITUNAS  RELLENAS  ANCHOA
5;10200;ISABEL;ARASOL;KLAIPEDA;CIF;LITUANIA;20';11;1042;1600;OPERINTER;2/2020;ACEITUNAS NEGRAS RODAJAS
6;10200;ISABEL;OSUNA;KLAIPEDA;CIF;LITUANIA;40';25;1295;1600;DSV;2/2020;ACEITUNAS NEGRAS RODAJAS
7;4300;IRENE;ACENORCA;BOCHUM;DAP;ALEMANIA;20';11;1875;1500;TRANSITEX;2/2020;ACEITUNAS RELLENAS PIMIENTO
8;4200;PACHI;CAZORLA;BUSAN;CFR;COREA DEL SUR;20';11;787;1400;DSV;2/2020;ACEITUNAS RELLENAS PIMIENTO
9;400;PACHI;ARASOL;KARACHI;CFR;PAKISTAN;20';11;1092;1800;DSV;2/2020;ACEITUNAS NEGRAS RODAJAS
10;100;PACHI;ARASOL;JEBEL ALI;CFR;EMIRATOS ARABES UNIDOS;20';11;950;1800;OPERINTER;2/2020;ACEITUNAS NEGRAS RODAJAS
11;6000;IRENE;OSUNA;HAMBURGO;DDP;ALEMANIA;20';11;1464;1410;CONTAINERSHIPS;2/2020;ACEITUNAS VERDES  RODAJAS
12;1000;PACHI;ACENORCA;SHARJAH;CFR;EMIRATOS ARABES UNIDOS;20';11;1763;1950;BRAID;3/2020;ACEITUNAS VERDES  RODAJAS
13;10200;ISABEL;ARASOL;KLAIPEDA;CIF;LITUANIA;40';25;1277;1600;OPERINTER;3/2020;ACEITUNAS VERDES  RODAJAS
14;6000;IRENE;ACENORCA;HAMBURGO;DAP;ALEMANIA;20';11;1760;1410;BRAID;3/2020;ACEITUNAS  RELLENAS  ANCHOA
15;1700;PACHI;ARASOL;SHARJAH;CFR;EMIRATOS ARABES UNIDOS;20';11;1427;1600;DSV;3/2020;ACEITUNAS NEGRAS RODAJAS
16;1100;PACHI;ARASOL;JEDDAH;CFR;ARABIA SAUDITA;20';11;1162;1300;DSV;3/2020;ACEITUNAS VERDES SIN HUESO
17;1100;PACHI;OSUNA;JEDDAH;CFR;ARABIA SAUDITA;20';11;1192;1300;DSV;3/2020;ACEITUNAS NEGRAS RODAJAS
18;1100;PACHI;ARASOL;JEDDAH;CFR;ARABIA SAUDITA;40';25;1535;1450;DSV;3/2020;ACEITUNAS VERDES SIN HUESO
19;5200;DAVID;ARASOL;HODDESDON;DDP;REINO UNIDO;40';25;1817;2232;MSC;3/2020;ACEITUNAS NEGRAS RODAJAS
20;10200;ISABEL;ARASOL;KLAIPEDA;CIF;LITUANIA;20';11;1016;1600;MSC;3/2020;ACEITUNAS  RELLENAS  ANCHOA
21;10200;ISABEL;OSUNA;KLAIPEDA;CIF;LITUANIA;20';11;1073;1600;MSC;3/2020;ACEITUNAS RELLENAS PIMIENTO
22;800;PACHI;ARASOL;DAMMAM;CFR;ARABIA SAUDITA;20';11;1179;1900;DSV;3/2020;ACEITUNAS NEGRAS RODAJAS
23;4900;IRENE;ARASOL;GELSENKIRCHEN;DAP;ALEMANIA;40';25;2130;2350;BRAID;3/2020;ACEITUNAS VERDES SIN HUESO
24;4800;DAVID;ACENORCA;CHARD;DDP;REINO UNIDO;20';11;2190;2050;JOHNGOOD;3/2020;ACEITUNAS VERDES  RODAJAS
25;4300;IRENE;ACENORCA;BOCHUM;DAP;ALEMANIA;20';11;1875;1500;TRANSITEX;3/2020;ACEITUNAS VERDES SIN HUESO
26;4200;PACHI;OSUNA;BUSAN;CFR;COREA DEL SUR;20';11;1077;1400;DSV;3/2020;ACEITUNAS  RELLENAS  ANCHOA
27;400;PACHI;ARASOL;KARACHI;CFR;PAKISTAN;20';11;1732;1800;DSV;3/2020;ACEITUNAS RELLENAS PIMIENTO
28;100;PACHI;ARASOL;JEBEL ALI;CFR;EMIRATOS ARABES UNIDOS;20';11;1305;1800;DSV;3/2020;ACEITUNAS NEGRAS RODAJAS
29;1500;PACHI;OSUNA;SHUWAIKH;CFR;KUWAIT;20';11;1686;1800;DSV;4/2020;ACEITUNAS VERDES  RODAJAS
30;4000;DAVID;ARASOL;PARK ROYAL;DDP;REINO UNIDO;20';11;1668;1940;JOHNGOOD;4/2020;ACEITUNAS NEGRAS RODAJAS
31;100;PACHI;ARASOL;JEBEL ALI;CFR;EMIRATOS ARABES UNIDOS;20';11;1467;1800;ECCOFREIGHT;4/2020;ACEITUNAS NEGRAS RODAJAS
32;6600;ISABEL;ACENORCA;HAIFA;CIF;ISRAEL;20';11;1380;1330;OPERINTER;4/2020;ACEITUNAS NEGRAS RODAJAS
33;10300;PACHI;CAZORLA;SAN PETERSBURGO;CFR;RUSIA;40';25;1440;1600;TRANSITEX;4/2020;ACEITUNAS  RELLENAS  ANCHOA
34;1200;PACHI;OSUNA;RIYADH DRY PORT;CFR;ARABIA SAUDITA;40';25;1885;2400;DACHSER;4/2020;ACEITUNAS VERDES  RODAJAS
35;5200;DAVID;ARASOL;HODDESDON;DDP;REINO UNIDO;40';25;1750;2232;MSC;4/2020;ACEITUNAS NEGRAS RODAJAS
36;10200;ISABEL;CAZORLA;KLAIPEDA;CIF;LITUANIA;20';11;1186;1600;OPERINTER;4/2020;ACEITUNAS NEGRAS RODAJAS
37;10200;ISABEL;ARASOL;KLAIPEDA;CIF;LITUANIA;20';11;1017;1600;OPERINTER;4/2020;ACEITUNAS NEGRAS RODAJAS
38;10200;ISABEL;OSUNA;KLAIPEDA;CIF;LITUANIA;20';11;1101;1600;OPERINTER;4/2020;ACEITUNAS RELLENAS PIMIENTO
39;10200;ISABEL;OLIVES;KLAIPEDA;CIF;LITUANIA;20';11;1295;1600;OPERINTER;4/2020;ACEITUNAS VERDES SIN HUESO
40;800;PACHI;ARASOL;DAMMAM;CFR;ARABIA SAUDITA;20';11;1494;1900;ECCOFREIGHT;4/2020;ACEITUNAS RELLENAS PIMIENTO
41;4900;IRENE;ARASOL;GELSENKIRCHEN;DAP;ALEMANIA;40';25;1840;2350;DSV;4/2020;ACEITUNAS VERDES  RODAJAS
42;4000;DAVID;ARASOL;PARK ROYAL;DDP;REINO UNIDO;40';25;1982;2200;CONTAINERSHIPS;4/2020;ACEITUNAS RELLENAS PIMIENTO
43;3700;DAVID;ARASOL;PARK ROYAL;DAP;REINO UNIDO;40';25;1910;2200;JOHNGOOD;4/2020;ACEITUNAS VERDES  RODAJAS
44;3700;DAVID;ARASOL;PARK ROYAL;DAP;REINO UNIDO;20';11;1668;2200;JOHNGOOD;4/2020;ACEITUNAS VERDES  RODAJAS
45;3700;DAVID;ARASOL;PARK ROYAL;DAP;REINO UNIDO;40';25;1982;2200;CONTAINERSHIPS;4/2020;ACEITUNAS NEGRAS RODAJAS
46;400;PACHI;ARASOL;KARACHI;CFR;PAKISTAN;20';11;1400;1800;DECOEXSA;4/2020;ACEITUNAS RELLENAS PIMIENTO
47;400;PACHI;ARASOL;KARACHI;CFR;PAKISTAN;20';11;1560;1800;OPERINTER;4/2020;ACEITUNAS RELLENAS PIMIENTO
48;100;PACHI;OSUNA;JEBEL ALI;CFR;EMIRATOS ARABES UNIDOS;20';11;1300;1800;TRANSITEX;4/2020;ACEITUNAS VERDES SIN HUESO
49;6100;IRENE;ARASOL;HAMBURGO;DAP;ALEMANIA;40';25;1675;1579;BRAID;4/2020;ACEITUNAS  RELLENAS  ANCHOA
50;10300;PACHI;ARASOL;SAN PETERSBURGO;CIF;RUSIA;40';25;1461;1750;MSC;5/2020;ACEITUNAS VERDES  RODAJAS
51;6000;IRENE;ACENORCA;HAMBURGO;DAP;ALEMANIA;40';25;1950;1580;CONTAINERSHIPS;5/2020;ACEITUNAS RELLENAS PIMIENTO
52;1800;IRENE;ACENORCA;NIEDERHOFEN;DAP;ALEMANIA;CAMION;33;2000;2100;SENNDER;5/2020;ACEITUNAS VERDES SIN HUESO
53;4900;IRENE;OSUNA;GELSENKIRCHEN;DDP;ALEMANIA;CAMION;33;2905;3150;VERTEX;5/2020;ACEITUNAS RELLENAS PIMIENTO
54;7200;DAVID;CAZORLA;FLEURY LES AUBRAIS;DAP;FRANCIA;CAMION;33;1645;1835;CARRERAS;5/2020;ACEITUNAS RELLENAS PIMIENTO
55;10300;PACHI;ARASOL;SAN PETERSBURGO;CIF;RUSIA;20';11;1102;1500;SEALAND;5/2020;ACEITUNAS VERDES  RODAJAS
56;1400;ISABEL;ACENORCA;HAIFA;CFR;ISRAEL;40';25;1700;2650;TRANSITEX;5/2020;ACEITUNAS NEGRAS RODAJAS
57;10300;PACHI;ARASOL;SAN PETERSBURGO;CIF;RUSIA;40';25;1160;1750;BRAID;5/2020;ACEITUNAS VERDES  RODAJAS
58;3300;DAVID;OLIVES;PLAISANCE DU TOUCH;DDP;FRANCIA;CAMION;33;1190;1425;TRANSMOVIEX;5/2020;ACEITUNAS VERDES SIN HUESO
59;1200;PACHI;OSUNA;RIYADH DRY PORT;CFR;ARABIA SAUDITA;40';25;1900;2400;TRANSITEX;5/2020;ACEITUNAS VERDES SIN HUESO
60;100;PACHI;OSUNA;JEBEL ALI;CFR;EMIRATOS ARABES UNIDOS;20';11;1650;1800;OPERINTER;5/2020;ACEITUNAS NEGRAS RODAJAS
61;3300;DAVID;OLIVES;PLAISANCE DU TOUCH;DDP;FRANCIA;CAMION;33;1190;1300;TRANSMOVIEX;5/2020;ACEITUNAS  RELLENAS  ANCHOA
62;1800;IRENE;ACENORCA;NIEDERHOFEN;DAP;ALEMANIA;CAMION;33;1915;2100;SILVAN LOGISTICS;5/2020;ACEITUNAS VERDES  RODAJAS
63;4100;DAVID;OSUNA;SAINT BONNET LES OULES;DAP;FRANCIA;CAMION;33;1850;1750;RETAIL EXTENDED LOG;5/2020;ACEITUNAS VERDES SIN HUESO
64;1200;PACHI;OSUNA;RIYADH DRY PORT;CFR;ARABIA SAUDITA;40';25;1605;2400;DSV;5/2020;ACEITUNAS NEGRAS RODAJAS
65;6500;DAVID;ACENORCA;VALLESE DI OPPEANO;DAP;ITALIA;CAMION;33;1700;1900;TRANSMOVIEX;5/2020;ACEITUNAS VERDES  RODAJAS
